Date,AAPL,MSFT,AMZN,GOOGL,TSLA,NVDA
2021-03-30,0.7332713043098487,0.4402874121008731,0.13054274839507635,-0.056506514863156436,0.42762000231512287,-0.23838505809824423
2021-03-31,-0.36846509295784907,-0.6042505050547549,-0.575655651893838,-0.5846720563753401,-0.41093685037044914,-1.2969853450653468
2021-04-01,-0.7124296577953033,-2.3210581464884483,-1.7806165701979362,-2.477412647199277,-0.19729974255946872,-2.0244443883260024
2021-04-05,-1.8343573097501815,-2.975024507154512,-2.520373441137362,-3.351774586478076,-0.9025037353917567,-2.0168868018979222
2021-04-06,-1.9015533311533936,-2.297084364445422,-2.283793898454282,-2.4697824936513526,-0.9343389200896263,-1.7997434115987139
2021-04-07,-2.1952232518830948,-2.1972983505831665,-2.5319901781465735,-2.359587284302147,-0.2000239079513995,-2.0600099873565383
2021-04-08,-2.5088821944994306,-2.2510783411127746,-2.278058976980126,-2.0864249613378565,-0.6248987998244676,-2.0614950260348714
2021-04-09,-2.579568012942085,-2.156552962301549,-2.4804515078426563,-1.9812856474918288,-0.4396820843627677,-1.8818353413790128
2021-04-12,-1.7949105635113094,-1.842844660302835,-2.1026362278616553,-1.4845186085577806,-1.3164017751978763,-2.519826333729822
2021-04-13,-2.13674761889157,-1.8324782196958218,-1.9326356578162662,-1.4112481163811335,-2.76337789746976,-2.460098293191962
2021-04-14,-1.449592790412741,-1.3563623336465094,-1.2360099463330956,-1.1591428389564997,-1.6590650594108904,-1.7225212080717134
2021-04-15,-1.7021963757977068,-1.5427710088786295,-1.424864995472193,-1.4118191692175894,-1.6758364028991433,-2.1513618455938626
2021-04-16,-1.455112074497867,-1.4849665430618175,-1.4169071830120528,-1.2498907586163375,-1.4978234194118645,-1.6949545423397692
2021-04-19,-1.4123950795506695,-1.1804924319487389,-1.095303530195765,-1.1879557088163573,-0.8161775489752887,-1.1005401940295296
2021-04-20,-0.9996331900426729,-1.0268193992204724,-0.7391564001873981,-0.9875943949442054,-0.8454510859650143,-0.8492070548294921
2021-04-21,-0.9669531920016152,-1.1261353309450306,-0.8542441518267954,-0.8898825531371676,-1.2797292382007035,-0.9135590711740685
2021-04-22,-0.6171074305842812,-0.7222566508620516,-0.39377893209659304,-0.565888771148216,-0.6577528506658769,-0.40486092312970734
2021-04-23,-0.9594937061607662,-1.0262551727169165,-0.5631167287919512,-0.9667489816519983,-0.7957914890357781,-0.7050386628348786
